ndcg@5,coverage,n_pois_recomendados,n_pois_totales,diversity,n_categorias_recomendadas,n_categorias_totales,autonomy_level,autonomy_type
0.019143866269321453,0.6691599539700805,16282,24332,0.7962441314553991,1696,2130,time_segment_conditions,context
0.015831164816232115,0.6754890678941312,16436,24332,0.788262910798122,1679,2130,time_segment,context
0.01922096031696641,0.6717491369390104,16345,24332,0.7967136150234742,1697,2130,conditions,context
0.015413473986750569,0.6852704257767549,16674,24332,0.8070422535211268,1719,2130,none,context
0.0028830240954395097,0.5814976163077429,14149,24332,0.7338028169014085,1563,2130,time_segment_conditions_hops2,location_hops
0.00041451933838963247,0.6707216833799112,16320,24332,0.8014084507042254,1707,2130,time_segment_conditions_hops3,location_hops
